ID,Score,Phase,Timepoint
141,0.772727273,Phase 2,posttraining
141,0.909090909,Phase 2,followup
142,0.318181818,Phase 2,pretraining
142,0.954545455,Phase 2,posttraining
142,0.909090909,Phase 2,followup
143,0.681818182,Phase 2,pretraining
143,1,Phase 2,posttraining
143,1,Phase 2,followup
144,0.818181818,Phase 2,pretraining
144,1,Phase 2,posttraining
144,0.681818182,Phase 2,followup
146,0.545454546,Phase 2,pretraining
146,0.863636364,Phase 2,posttraining
146,0.772727273,Phase 2,followup
147,0.045454545,Phase 2,pretraining
147,0.681818182,Phase 2,posttraining
147,0.727272727,Phase 2,followup
148,0.727272727,Phase 2,pretraining
148,0.909090909,Phase 2,posttraining
148,0.954545455,Phase 2,followup
149,0.181818182,Phase 2,pretraining
149,0.772727273,Phase 2,posttraining
149,0.863636364,Phase 2,followup
150,0.5,Phase 3,pretraining
150,0.863636364,Phase 3,posttraining
150,0.863636364,Phase 3,followup
151,0.272727273,Phase 3,pretraining
151,0.954545455,Phase 3,posttraining
151,0.863636364,Phase 3,followup
152,0.5,Phase 3,pretraining
152,0.954545455,Phase 3,posttraining
152,0.954545455,Phase 3,followup
153,0.363636364,Phase 3,pretraining
153,0.954545455,Phase 3,posttraining
153,0.818181818,Phase 3,followup
154,0.409090909,Phase 3,pretraining
154,0.818181818,Phase 3,posttraining
154,0.772727273,Phase 3,followup
155,0.727272727,Phase 3,pretraining
155,0.954545455,Phase 3,posttraining
155,0.954545455,Phase 3,followup
157,0.772727273,Phase 3,pretraining
157,0.863636364,Phase 3,posttraining
157,0.954545455,Phase 3,followup
158,0.136363636,Phase 3,pretraining
158,0.954545455,Phase 3,posttraining
158,0.909090909,Phase 3,followup
159,0.5,Phase 3,pretraining
159,0.909090909,Phase 3,posttraining
159,0.863636364,Phase 3,followup
160,0.636363636,Phase 3,pretraining
160,0.954545455,Phase 3,posttraining
160,0.863636364,Phase 3,followup
162,0.590909091,Phase 3,pretraining
162,0.954545455,Phase 3,posttraining
162,0.772727273,Phase 3,followup
163,0.681818182,Phase 3,pretraining
163,0.863636364,Phase 3,posttraining
163,0.909090909,Phase 3,followup
164,0.454545455,Phase 3,pretraining
164,0.954545455,Phase 3,posttraining
164,0.909090909,Phase 3,followup
165,0.409090909,Phase 3,pretraining
165,0.954545455,Phase 3,posttraining
165,0.909090909,Phase 3,followup
166,0.636363636,Phase 3,pretraining
166,1,Phase 3,posttraining
166,0.772727273,Phase 3,followup
167,0.681818182,Phase 3,pretraining
167,0.909090909,Phase 3,posttraining
167,0.954545455,Phase 3,followup
168,0.363636364,Phase 3,pretraining
168,0.909090909,Phase 3,posttraining
168,1,Phase 3,followup
169,0.5,Phase 3,pretraining
169,0.863636364,Phase 3,posttraining
169,0.954545455,Phase 3,followup
170,0.363636364,Phase 3,pretraining
170,0.909090909,Phase 3,posttraining
170,0.954545455,Phase 3,followup
172,0.454545455,Phase 3,pretraining
172,0.818181818,Phase 3,posttraining
172,0.863636364,Phase 3,followup
173,0.545454546,Phase 3,pretraining
173,0.954545455,Phase 3,posttraining
173,0.954545455,Phase 3,followup
174,0.681818182,Phase 3,pretraining
174,1,Phase 3,posttraining
174,0.909090909,Phase 3,followup
175,0.454545455,Phase 3,pretraining
175,0.909090909,Phase 3,posttraining
175,0.818181818,Phase 3,followup
177,0.909090909,Phase 3,pretraining
177,0.954545455,Phase 3,posttraining
177,0.954545455,Phase 3,followup
178,0.181818182,Phase 3,pretraining
178,0.909090909,Phase 3,posttraining
178,0.818181818,Phase 3,followup
179,0.545454546,Phase 3,pretraining
179,0.954545455,Phase 3,posttraining
179,0.954545455,Phase 3,followup
180,0.454545455,Phase 3,pretraining
180,0.954545455,Phase 3,posttraining
180,0.954545455,Phase 3,followup
181,0.909090909,Phase 3,pretraining
181,0.954545455,Phase 3,posttraining
181,0.954545455,Phase 3,followup
182,0.454545455,Phase 3,pretraining
182,0.727272727,Phase 3,posttraining
182,0.681818182,Phase 3,followup
186,0.227272727,Phase 3,pretraining
186,0.863636364,Phase 3,posttraining
186,0.863636364,Phase 3,followup
187,0.545454546,Phase 3,pretraining
187,1,Phase 3,posttraining
187,0.954545455,Phase 3,followup
188,0.909090909,Phase 3,pretraining
188,1,Phase 3,posttraining
188,0.909090909,Phase 3,followup
190,0.590909091,Phase 3,pretraining
190,1,Phase 3,posttraining
190,0.954545455,Phase 3,followup
191,0.045454545,Phase 3,pretraining
191,0.909090909,Phase 3,posttraining
192,0.636363636,Phase 3,pretraining
192,0.818181818,Phase 3,posttraining
192,0.954545455,Phase 3,followup
193,0.181818182,Phase 3,pretraining
193,0.909090909,Phase 3,posttraining
193,0.909090909,Phase 3,followup
194,0.090909091,Phase 3,pretraining
194,0.818181818,Phase 3,posttraining
194,0.954545455,Phase 3,followup
195,0.454545455,Phase 3,pretraining
195,0.909090909,Phase 3,posttraining
195,0.863636364,Phase 3,followup
196,0.681818182,Phase 3,pretraining
196,0.954545455,Phase 3,posttraining
196,0.954545455,Phase 3,followup
197,0.636363636,Phase 3,pretraining
197,0.863636364,Phase 3,posttraining
197,0.863636364,Phase 3,followup
198,0.772727273,Phase 3,pretraining
198,0.772727273,Phase 3,posttraining
198,0.772727273,Phase 3,followup
199,0.863636364,Phase 3,pretraining
199,0.636363636,Phase 3,posttraining
199,0.636363636,Phase 3,followup
202,0.590909091,Phase 3,pretraining
202,0.863636364,Phase 3,posttraining
202,0.818181818,Phase 3,followup
203,0.318181818,Phase 3,pretraining
203,0.727272727,Phase 3,posttraining
203,0.590909091,Phase 3,followup
205,0.681818182,Phase 3,pretraining
205,0.818181818,Phase 3,posttraining
205,0.772727273,Phase 3,followup
206,0.863636364,Phase 3,pretraining
206,0.818181818,Phase 3,posttraining
206,0.818181818,Phase 3,followup
207,0.545454546,Phase 3,pretraining
207,0.681818182,Phase 3,posttraining
207,0.590909091,Phase 3,followup
208,0.045454545,Phase 3,pretraining
208,0.681818182,Phase 3,posttraining
208,0.590909091,Phase 3,followup
209,0.545454546,Phase 3,pretraining
209,0.863636364,Phase 3,posttraining
209,0.818181818,Phase 3,followup
210,0.772727273,Phase 3,pretraining
210,0.909090909,Phase 3,posttraining
210,0.863636364,Phase 3,followup
